"","C","N","P"
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
"Cellulose",147.2924,0,0
"Hemicellulose",86.0902,0,0
"Starch",12.2435,0,0
"Chitin",5.0089,0.834823351617553,0
"Lignin",48.6429,0.4053575,0
"Protein1",10.629,2.10277718490566,0
"Protein2",10.629,2.10277718490566,0
"Protein3",10.629,2.10277718490566,0
"OrgP1",12.5142,0,0.479780189086538
"OrgP2",1.8232,0.799642965570344,0.479784776592234
"DeadMic",0,0,0
"DeadEnz",0,0,0
